feature,ready_count,partial_count,blocked_count,excluded_count,total_count,top_blocker,sample_ready_tickers,sample_blocked_tickers,next_action,unlock_command,dashboard_section,updated_at
price,265,0,3273,0,3538,needs at least 5 valid price rows with positive close,"A, AACB, AACI, AACO, AAL","ARCT, ARDX, ARE, AREC, ARES",make price-worklist TOP_N=25,make price-worklist TOP_N=25,Price Coverage,2026-06-07T03:00:43.194885+00:00
momentum,262,3,3273,0,3538,needs at least 5 valid price rows with positive close,"A, AACB, AACI, AACO, AAL","ARCT, ARDX, ARE, AREC, ARES",make price-coverage TOP_N=25,make price-coverage TOP_N=25,Momentum,2026-06-07T03:00:43.205738+00:00
market_direction,262,3,3273,0,3538,needs at least 5 valid price rows with positive close,"A, AACB, AACI, AACO, AAL","ARCT, ARDX, ARE, AREC, ARES",make price-coverage TOP_N=25,make price-coverage TOP_N=25,Market Direction,2026-06-07T03:00:43.216419+00:00
liquidity,256,9,3273,0,3538,needs at least 5 valid price rows with positive close,"A, AACB, AAL, AAME, AAOI","ARCT, ARDX, ARE, AREC, ARES",make research-health TOP_N=10,make research-health TOP_N=10,Risk / Liquidity,2026-06-07T03:00:43.228015+00:00
correlation,256,9,3273,0,3538,needs at least 5 valid price rows with positive close,"A, AACB, AAL, AAME, AAOI","ARCT, ARDX, ARE, AREC, ARES",make research-health TOP_N=10,make research-health TOP_N=10,Risk / Correlation,2026-06-07T03:00:43.239050+00:00
fundamentals,23,17,3498,0,3538,"dcf: free_cash_flow, shares_outstanding, revenue, fcf_margin, price","A, AAL, AAME, AAOI, AAON","ABVE, ACAA, ACCL, ACET, ACFN",make sec-stage-queue TOP_N=25,make sec-stage-queue TOP_N=25,Fundamentals,2026-06-07T03:00:43.252836+00:00
dcf,23,0,3513,2,3538,"dcf: free_cash_flow, shares_outstanding, revenue, fcf_margin, price","A, AAL, AAME, AAOI, AAON","AACB, AACI, AACO, AAPG, AARD",make dcf-readiness,make dcf-readiness,Value / Re-rating,2026-06-07T03:00:43.266683+00:00
peer,9,17,3512,0,3538,peers: needs at least 2 source-backed peer mappings,"AAOI, AAPL, AMD, AVGO, COHR","AACB, AACI, AACO, AAPG, AARD",make peer-mapping-queue TOP_N=25,make peer-mapping-queue TOP_N=25,Peer Readiness,2026-06-07T03:00:43.280370+00:00
earnings,0,0,3538,0,3538,earnings: trusted local CSV input,,"A, AACB, AACI, AACO, AAL",make import-earnings,make import-earnings,Optional Context,2026-06-07T03:00:43.294392+00:00
analyst_estimates,0,0,3538,0,3538,analyst_estimates: trusted local CSV input,,"A, AACB, AACI, AACO, AAL",make import-analyst-estimates,make import-analyst-estimates,Optional Context,2026-06-07T03:00:43.307656+00:00
portfolio,3,0,0,3535,3538,needs at least 5 valid price rows with positive close,"META, NVDA, TSLA",,make pipeline,make pipeline,Portfolio Review,2026-06-07T03:00:43.319310+00:00
