ticker,peer_group,peer_count,sample_peers,mapping_status,candidate_peer_group,candidate_peer_count,candidate_sample_peers,candidate_mapping_status,candidate_states,peer_blocker_type,peer_price_ready,peer_momentum_ready,peer_fundamentals_ready,peer_valuation_ready,peer_trend_comparison_ready,peer_valuation_comparison_ready,peer_dcf_comparison_ready,peer_price_ready_count,peer_momentum_ready_count,peer_fundamentals_ready_count,peer_valuation_ready_count,ready_peer_count,peer_missing_price_tickers,peer_missing_momentum_tickers,peer_missing_fundamentals_tickers,peer_missing_valuation_tickers,peer_ready,missing_peer_reason,next_peer_action,updated_at
AACI,,0,,missing_mapping,,0,,candidate_missing,,missing_peer_mapping,False,False,False,False,False,False,False,0,0,0,0,0,,,,,False,needs at least 2 source-backed peer mappings,Add at least 2 source-backed peer mappings for AACI in data/imports/peers.csv.,2026-06-30T00:00:00+00:00
ACIC,,0,,missing_mapping,,0,,candidate_missing,,missing_peer_mapping,False,False,False,False,False,False,False,0,0,0,0,0,,,,,False,needs at least 2 source-backed peer mappings,Add at least 2 source-backed peer mappings for ACIC in data/imports/peers.csv.,2026-06-30T00:00:00+00:00
AMD,AI accelerators and data center semiconductors,2,"AVGO, NVDA",mapped,,0,,candidate_missing,,,True,True,True,True,True,True,True,2,2,2,2,2,,,,,True,,Peer trend and valuation comparison are ready for AMD.,2026-06-30T00:00:00+00:00
AVGO,AI accelerators and data center semiconductors,2,"AMD, NVDA",mapped,,0,,candidate_missing,,,True,True,True,True,True,True,True,2,2,2,2,2,,,,,True,,Peer trend and valuation comparison are ready for AVGO.,2026-06-30T00:00:00+00:00
MU,Memory and storage semiconductors,2,"SNDK, WDC",mapped,,0,,candidate_missing,,,True,True,True,True,True,True,True,2,2,2,2,2,,,,,True,,Peer trend and valuation comparison are ready for MU.,2026-06-30T00:00:00+00:00
NVDA,AI accelerators and data center semiconductors,2,"AMD, AVGO",mapped,,0,,candidate_missing,,,True,True,True,True,True,True,True,2,2,2,2,2,,,,,True,,Peer trend and valuation comparison are ready for NVDA.,2026-06-30T00:00:00+00:00
QQQ,,0,,excluded,,0,,excluded,,excluded_asset_type,False,False,False,False,False,False,False,0,0,0,0,0,,,,,False,operating-company peer mapping is excluded for ETF/index/fund monitor context,No peer import is required for QQQ; monitor context remains excluded from operating-company peer valuation.,2026-06-30T00:00:00+00:00
SMH,,0,,excluded,,0,,excluded,,excluded_asset_type,False,False,False,False,False,False,False,0,0,0,0,0,,,,,False,operating-company peer mapping is excluded for ETF/index/fund monitor context,No peer import is required for SMH; monitor context remains excluded from operating-company peer valuation.,2026-06-30T00:00:00+00:00
SNDK,Memory and storage hardware,2,"MU, WDC",mapped,,0,,candidate_missing,,,True,True,True,True,True,True,True,2,2,2,2,2,,,,,True,,Peer trend and valuation comparison are ready for SNDK.,2026-06-30T00:00:00+00:00
SPY,,0,,excluded,,0,,excluded,,excluded_asset_type,False,False,False,False,False,False,False,0,0,0,0,0,,,,,False,operating-company peer mapping is excluded for ETF/index/fund monitor context,No peer import is required for SPY; monitor context remains excluded from operating-company peer valuation.,2026-06-30T00:00:00+00:00
WDC,Memory and storage semiconductors,2,"MU, SNDK",mapped,,0,,candidate_missing,,,True,True,True,True,True,True,True,2,2,2,2,2,,,,,True,,Peer trend and valuation comparison are ready for WDC.,2026-06-30T00:00:00+00:00
