batch_id,lane,lane_label,ticker_scope,proposed_ticker,workflow_mode,source_context,freshness_status,dry_run_command,capped_execution_command,validation_command,preview_command,apply_command,post_run_verification,readiness_comparison_command,proof_record_command,expected_artifacts,rollback,do_not_proceed_if,pre_run_readiness_snapshot,command_run,validation_result,preview_result,apply_result,post_run_readiness_snapshot,changed_readiness_counts,changed_tickers,reviewer,review_date,source_files,generated_artifacts_reviewed,final_outcome,notes
RB-20260614T035812Z,metric_readiness_review,Metric Readiness Review,"A,AACB,AACI,AACO,AAL,AAME,AAOI,AAON,AAPG,AAPL",A,read_only_review,"Requires trusted local prices, benchmark rows, fundamentals, market context, and peer inputs depending on blocker family.",current: Readiness artifacts are current relative to watched source files.,"make metric-readiness-board TOP_N=10 TICKERS=A,AACB,AACI,AACO,AAL,AAME,AAOI,AAON,AAPG,AAPL","make metric-readiness-board TOP_N=10 TICKERS=A,AACB,AACI,AACO,AAL,AAME,AAOI,AAON,AAPG,AAPL BENCHMARKS=SPY,QQQ",not_applicable_read_only_metric_review,"review metric blocker families, source gates, and row-level missing inputs before any data work",not_applicable; metrics remain blocked until the underlying trusted source rows are reviewed through their lane,"make readiness && make metric-readiness-board TOP_N=10 TICKERS=A,AACB,AACI,AACO,AAL,AAME,AAOI,AAON,AAPG,AAPL BENCHMARKS=SPY,QQQ",make reviewed-batch-compare LANE=metrics BATCH_ID=RB-20260614T035812Z REVIEW_DATE=<yyyy-mm-dd>,"make reviewed-batch-proof-record BATCH_ID=""RB-20260614T035812Z"" LANE=""metric_readiness_review"" REVIEW_DATE=""<yyyy-mm-dd>"" FINAL_OUTCOME=""<supported|still_blocked|skipped|excluded>"" COMMAND_RUN=""<exact reviewed command>"" VALIDATION_RESULT=""<pass/fail/not_run>"" PREVIEW_RESULT=""<reviewed/not_run>"" APPLY_RESULT=""<applied/not_run/skipped>"" CHANGED_READINESS_COUNTS=""<from reviewed-batch-compare>"" CHANGED_TICKERS=""<from reviewed-batch-compare>""",metric-readiness console output; Data Health Metrics lane; optional reviewed_batch_packet.csv,"No local data is mutated by metric-readiness review. If follow-up source rows are changed in another lane, use that lane's rollback path.","readiness artifacts are missing or stale; source proof is unavailable; validation fails; preview shows unexpected rows; rejected-row reports contain unresolved rows; the operator cannot identify changed source files; the missing metric inputs have not been traced to prices, fundamentals, market cap, or peer-input proof",record saved counts before command; run make readiness-snapshot if needed,<copy exact command actually run>,<pass/fail/not_applicable>,<reviewed rows / no unexpected rows / not_applicable>,<not_run/applied/skipped>,"make readiness && make metric-readiness-board TOP_N=10 TICKERS=A,AACB,AACI,AACO,AAL,AAME,AAOI,AAON,AAPG,AAPL BENCHMARKS=SPY,QQQ","<before -> after counts, or none>","<tickers changed, or none>",<reviewer>,<YYYY-MM-DD>,metric-readiness console output; Data Health Metrics lane; optional reviewed_batch_packet.csv,<kept evidence or excluded local churn>,supported|still_blocked|skipped|excluded,"<source proof, blockers, rollback notes>"
RB-20260614T035812Z,metric_readiness_review,Metric Readiness Review,"A,AACB,AACI,AACO,AAL,AAME,AAOI,AAON,AAPG,AAPL",AACB,read_only_review,"Requires trusted local prices, benchmark rows, fundamentals, market context, and peer inputs depending on blocker family.",current: Readiness artifacts are current relative to watched source files.,"make metric-readiness-board TOP_N=10 TICKERS=A,AACB,AACI,AACO,AAL,AAME,AAOI,AAON,AAPG,AAPL","make metric-readiness-board TOP_N=10 TICKERS=A,AACB,AACI,AACO,AAL,AAME,AAOI,AAON,AAPG,AAPL BENCHMARKS=SPY,QQQ",not_applicable_read_only_metric_review,"review metric blocker families, source gates, and row-level missing inputs before any data work",not_applicable; metrics remain blocked until the underlying trusted source rows are reviewed through their lane,"make readiness && make metric-readiness-board TOP_N=10 TICKERS=A,AACB,AACI,AACO,AAL,AAME,AAOI,AAON,AAPG,AAPL BENCHMARKS=SPY,QQQ",make reviewed-batch-compare LANE=metrics BATCH_ID=RB-20260614T035812Z REVIEW_DATE=<yyyy-mm-dd>,"make reviewed-batch-proof-record BATCH_ID=""RB-20260614T035812Z"" LANE=""metric_readiness_review"" REVIEW_DATE=""<yyyy-mm-dd>"" FINAL_OUTCOME=""<supported|still_blocked|skipped|excluded>"" COMMAND_RUN=""<exact reviewed command>"" VALIDATION_RESULT=""<pass/fail/not_run>"" PREVIEW_RESULT=""<reviewed/not_run>"" APPLY_RESULT=""<applied/not_run/skipped>"" CHANGED_READINESS_COUNTS=""<from reviewed-batch-compare>"" CHANGED_TICKERS=""<from reviewed-batch-compare>""",metric-readiness console output; Data Health Metrics lane; optional reviewed_batch_packet.csv,"No local data is mutated by metric-readiness review. If follow-up source rows are changed in another lane, use that lane's rollback path.","readiness artifacts are missing or stale; source proof is unavailable; validation fails; preview shows unexpected rows; rejected-row reports contain unresolved rows; the operator cannot identify changed source files; the missing metric inputs have not been traced to prices, fundamentals, market cap, or peer-input proof",record saved counts before command; run make readiness-snapshot if needed,<copy exact command actually run>,<pass/fail/not_applicable>,<reviewed rows / no unexpected rows / not_applicable>,<not_run/applied/skipped>,"make readiness && make metric-readiness-board TOP_N=10 TICKERS=A,AACB,AACI,AACO,AAL,AAME,AAOI,AAON,AAPG,AAPL BENCHMARKS=SPY,QQQ","<before -> after counts, or none>","<tickers changed, or none>",<reviewer>,<YYYY-MM-DD>,metric-readiness console output; Data Health Metrics lane; optional reviewed_batch_packet.csv,<kept evidence or excluded local churn>,supported|still_blocked|skipped|excluded,"<source proof, blockers, rollback notes>"
RB-20260614T035812Z,metric_readiness_review,Metric Readiness Review,"A,AACB,AACI,AACO,AAL,AAME,AAOI,AAON,AAPG,AAPL",AACI,read_only_review,"Requires trusted local prices, benchmark rows, fundamentals, market context, and peer inputs depending on blocker family.",current: Readiness artifacts are current relative to watched source files.,"make metric-readiness-board TOP_N=10 TICKERS=A,AACB,AACI,AACO,AAL,AAME,AAOI,AAON,AAPG,AAPL","make metric-readiness-board TOP_N=10 TICKERS=A,AACB,AACI,AACO,AAL,AAME,AAOI,AAON,AAPG,AAPL BENCHMARKS=SPY,QQQ",not_applicable_read_only_metric_review,"review metric blocker families, source gates, and row-level missing inputs before any data work",not_applicable; metrics remain blocked until the underlying trusted source rows are reviewed through their lane,"make readiness && make metric-readiness-board TOP_N=10 TICKERS=A,AACB,AACI,AACO,AAL,AAME,AAOI,AAON,AAPG,AAPL BENCHMARKS=SPY,QQQ",make reviewed-batch-compare LANE=metrics BATCH_ID=RB-20260614T035812Z REVIEW_DATE=<yyyy-mm-dd>,"make reviewed-batch-proof-record BATCH_ID=""RB-20260614T035812Z"" LANE=""metric_readiness_review"" REVIEW_DATE=""<yyyy-mm-dd>"" FINAL_OUTCOME=""<supported|still_blocked|skipped|excluded>"" COMMAND_RUN=""<exact reviewed command>"" VALIDATION_RESULT=""<pass/fail/not_run>"" PREVIEW_RESULT=""<reviewed/not_run>"" APPLY_RESULT=""<applied/not_run/skipped>"" CHANGED_READINESS_COUNTS=""<from reviewed-batch-compare>"" CHANGED_TICKERS=""<from reviewed-batch-compare>""",metric-readiness console output; Data Health Metrics lane; optional reviewed_batch_packet.csv,"No local data is mutated by metric-readiness review. If follow-up source rows are changed in another lane, use that lane's rollback path.","readiness artifacts are missing or stale; source proof is unavailable; validation fails; preview shows unexpected rows; rejected-row reports contain unresolved rows; the operator cannot identify changed source files; the missing metric inputs have not been traced to prices, fundamentals, market cap, or peer-input proof",record saved counts before command; run make readiness-snapshot if needed,<copy exact command actually run>,<pass/fail/not_applicable>,<reviewed rows / no unexpected rows / not_applicable>,<not_run/applied/skipped>,"make readiness && make metric-readiness-board TOP_N=10 TICKERS=A,AACB,AACI,AACO,AAL,AAME,AAOI,AAON,AAPG,AAPL BENCHMARKS=SPY,QQQ","<before -> after counts, or none>","<tickers changed, or none>",<reviewer>,<YYYY-MM-DD>,metric-readiness console output; Data Health Metrics lane; optional reviewed_batch_packet.csv,<kept evidence or excluded local churn>,supported|still_blocked|skipped|excluded,"<source proof, blockers, rollback notes>"
RB-20260614T035812Z,metric_readiness_review,Metric Readiness Review,"A,AACB,AACI,AACO,AAL,AAME,AAOI,AAON,AAPG,AAPL",AACO,read_only_review,"Requires trusted local prices, benchmark rows, fundamentals, market context, and peer inputs depending on blocker family.",current: Readiness artifacts are current relative to watched source files.,"make metric-readiness-board TOP_N=10 TICKERS=A,AACB,AACI,AACO,AAL,AAME,AAOI,AAON,AAPG,AAPL","make metric-readiness-board TOP_N=10 TICKERS=A,AACB,AACI,AACO,AAL,AAME,AAOI,AAON,AAPG,AAPL BENCHMARKS=SPY,QQQ",not_applicable_read_only_metric_review,"review metric blocker families, source gates, and row-level missing inputs before any data work",not_applicable; metrics remain blocked until the underlying trusted source rows are reviewed through their lane,"make readiness && make metric-readiness-board TOP_N=10 TICKERS=A,AACB,AACI,AACO,AAL,AAME,AAOI,AAON,AAPG,AAPL BENCHMARKS=SPY,QQQ",make reviewed-batch-compare LANE=metrics BATCH_ID=RB-20260614T035812Z REVIEW_DATE=<yyyy-mm-dd>,"make reviewed-batch-proof-record BATCH_ID=""RB-20260614T035812Z"" LANE=""metric_readiness_review"" REVIEW_DATE=""<yyyy-mm-dd>"" FINAL_OUTCOME=""<supported|still_blocked|skipped|excluded>"" COMMAND_RUN=""<exact reviewed command>"" VALIDATION_RESULT=""<pass/fail/not_run>"" PREVIEW_RESULT=""<reviewed/not_run>"" APPLY_RESULT=""<applied/not_run/skipped>"" CHANGED_READINESS_COUNTS=""<from reviewed-batch-compare>"" CHANGED_TICKERS=""<from reviewed-batch-compare>""",metric-readiness console output; Data Health Metrics lane; optional reviewed_batch_packet.csv,"No local data is mutated by metric-readiness review. If follow-up source rows are changed in another lane, use that lane's rollback path.","readiness artifacts are missing or stale; source proof is unavailable; validation fails; preview shows unexpected rows; rejected-row reports contain unresolved rows; the operator cannot identify changed source files; the missing metric inputs have not been traced to prices, fundamentals, market cap, or peer-input proof",record saved counts before command; run make readiness-snapshot if needed,<copy exact command actually run>,<pass/fail/not_applicable>,<reviewed rows / no unexpected rows / not_applicable>,<not_run/applied/skipped>,"make readiness && make metric-readiness-board TOP_N=10 TICKERS=A,AACB,AACI,AACO,AAL,AAME,AAOI,AAON,AAPG,AAPL BENCHMARKS=SPY,QQQ","<before -> after counts, or none>","<tickers changed, or none>",<reviewer>,<YYYY-MM-DD>,metric-readiness console output; Data Health Metrics lane; optional reviewed_batch_packet.csv,<kept evidence or excluded local churn>,supported|still_blocked|skipped|excluded,"<source proof, blockers, rollback notes>"
RB-20260614T035812Z,metric_readiness_review,Metric Readiness Review,"A,AACB,AACI,AACO,AAL,AAME,AAOI,AAON,AAPG,AAPL",AAL,read_only_review,"Requires trusted local prices, benchmark rows, fundamentals, market context, and peer inputs depending on blocker family.",current: Readiness artifacts are current relative to watched source files.,"make metric-readiness-board TOP_N=10 TICKERS=A,AACB,AACI,AACO,AAL,AAME,AAOI,AAON,AAPG,AAPL","make metric-readiness-board TOP_N=10 TICKERS=A,AACB,AACI,AACO,AAL,AAME,AAOI,AAON,AAPG,AAPL BENCHMARKS=SPY,QQQ",not_applicable_read_only_metric_review,"review metric blocker families, source gates, and row-level missing inputs before any data work",not_applicable; metrics remain blocked until the underlying trusted source rows are reviewed through their lane,"make readiness && make metric-readiness-board TOP_N=10 TICKERS=A,AACB,AACI,AACO,AAL,AAME,AAOI,AAON,AAPG,AAPL BENCHMARKS=SPY,QQQ",make reviewed-batch-compare LANE=metrics BATCH_ID=RB-20260614T035812Z REVIEW_DATE=<yyyy-mm-dd>,"make reviewed-batch-proof-record BATCH_ID=""RB-20260614T035812Z"" LANE=""metric_readiness_review"" REVIEW_DATE=""<yyyy-mm-dd>"" FINAL_OUTCOME=""<supported|still_blocked|skipped|excluded>"" COMMAND_RUN=""<exact reviewed command>"" VALIDATION_RESULT=""<pass/fail/not_run>"" PREVIEW_RESULT=""<reviewed/not_run>"" APPLY_RESULT=""<applied/not_run/skipped>"" CHANGED_READINESS_COUNTS=""<from reviewed-batch-compare>"" CHANGED_TICKERS=""<from reviewed-batch-compare>""",metric-readiness console output; Data Health Metrics lane; optional reviewed_batch_packet.csv,"No local data is mutated by metric-readiness review. If follow-up source rows are changed in another lane, use that lane's rollback path.","readiness artifacts are missing or stale; source proof is unavailable; validation fails; preview shows unexpected rows; rejected-row reports contain unresolved rows; the operator cannot identify changed source files; the missing metric inputs have not been traced to prices, fundamentals, market cap, or peer-input proof",record saved counts before command; run make readiness-snapshot if needed,<copy exact command actually run>,<pass/fail/not_applicable>,<reviewed rows / no unexpected rows / not_applicable>,<not_run/applied/skipped>,"make readiness && make metric-readiness-board TOP_N=10 TICKERS=A,AACB,AACI,AACO,AAL,AAME,AAOI,AAON,AAPG,AAPL BENCHMARKS=SPY,QQQ","<before -> after counts, or none>","<tickers changed, or none>",<reviewer>,<YYYY-MM-DD>,metric-readiness console output; Data Health Metrics lane; optional reviewed_batch_packet.csv,<kept evidence or excluded local churn>,supported|still_blocked|skipped|excluded,"<source proof, blockers, rollback notes>"
RB-20260614T035812Z,metric_readiness_review,Metric Readiness Review,"A,AACB,AACI,AACO,AAL,AAME,AAOI,AAON,AAPG,AAPL",AAME,read_only_review,"Requires trusted local prices, benchmark rows, fundamentals, market context, and peer inputs depending on blocker family.",current: Readiness artifacts are current relative to watched source files.,"make metric-readiness-board TOP_N=10 TICKERS=A,AACB,AACI,AACO,AAL,AAME,AAOI,AAON,AAPG,AAPL","make metric-readiness-board TOP_N=10 TICKERS=A,AACB,AACI,AACO,AAL,AAME,AAOI,AAON,AAPG,AAPL BENCHMARKS=SPY,QQQ",not_applicable_read_only_metric_review,"review metric blocker families, source gates, and row-level missing inputs before any data work",not_applicable; metrics remain blocked until the underlying trusted source rows are reviewed through their lane,"make readiness && make metric-readiness-board TOP_N=10 TICKERS=A,AACB,AACI,AACO,AAL,AAME,AAOI,AAON,AAPG,AAPL BENCHMARKS=SPY,QQQ",make reviewed-batch-compare LANE=metrics BATCH_ID=RB-20260614T035812Z REVIEW_DATE=<yyyy-mm-dd>,"make reviewed-batch-proof-record BATCH_ID=""RB-20260614T035812Z"" LANE=""metric_readiness_review"" REVIEW_DATE=""<yyyy-mm-dd>"" FINAL_OUTCOME=""<supported|still_blocked|skipped|excluded>"" COMMAND_RUN=""<exact reviewed command>"" VALIDATION_RESULT=""<pass/fail/not_run>"" PREVIEW_RESULT=""<reviewed/not_run>"" APPLY_RESULT=""<applied/not_run/skipped>"" CHANGED_READINESS_COUNTS=""<from reviewed-batch-compare>"" CHANGED_TICKERS=""<from reviewed-batch-compare>""",metric-readiness console output; Data Health Metrics lane; optional reviewed_batch_packet.csv,"No local data is mutated by metric-readiness review. If follow-up source rows are changed in another lane, use that lane's rollback path.","readiness artifacts are missing or stale; source proof is unavailable; validation fails; preview shows unexpected rows; rejected-row reports contain unresolved rows; the operator cannot identify changed source files; the missing metric inputs have not been traced to prices, fundamentals, market cap, or peer-input proof",record saved counts before command; run make readiness-snapshot if needed,<copy exact command actually run>,<pass/fail/not_applicable>,<reviewed rows / no unexpected rows / not_applicable>,<not_run/applied/skipped>,"make readiness && make metric-readiness-board TOP_N=10 TICKERS=A,AACB,AACI,AACO,AAL,AAME,AAOI,AAON,AAPG,AAPL BENCHMARKS=SPY,QQQ","<before -> after counts, or none>","<tickers changed, or none>",<reviewer>,<YYYY-MM-DD>,metric-readiness console output; Data Health Metrics lane; optional reviewed_batch_packet.csv,<kept evidence or excluded local churn>,supported|still_blocked|skipped|excluded,"<source proof, blockers, rollback notes>"
RB-20260614T035812Z,metric_readiness_review,Metric Readiness Review,"A,AACB,AACI,AACO,AAL,AAME,AAOI,AAON,AAPG,AAPL",AAOI,read_only_review,"Requires trusted local prices, benchmark rows, fundamentals, market context, and peer inputs depending on blocker family.",current: Readiness artifacts are current relative to watched source files.,"make metric-readiness-board TOP_N=10 TICKERS=A,AACB,AACI,AACO,AAL,AAME,AAOI,AAON,AAPG,AAPL","make metric-readiness-board TOP_N=10 TICKERS=A,AACB,AACI,AACO,AAL,AAME,AAOI,AAON,AAPG,AAPL BENCHMARKS=SPY,QQQ",not_applicable_read_only_metric_review,"review metric blocker families, source gates, and row-level missing inputs before any data work",not_applicable; metrics remain blocked until the underlying trusted source rows are reviewed through their lane,"make readiness && make metric-readiness-board TOP_N=10 TICKERS=A,AACB,AACI,AACO,AAL,AAME,AAOI,AAON,AAPG,AAPL BENCHMARKS=SPY,QQQ",make reviewed-batch-compare LANE=metrics BATCH_ID=RB-20260614T035812Z REVIEW_DATE=<yyyy-mm-dd>,"make reviewed-batch-proof-record BATCH_ID=""RB-20260614T035812Z"" LANE=""metric_readiness_review"" REVIEW_DATE=""<yyyy-mm-dd>"" FINAL_OUTCOME=""<supported|still_blocked|skipped|excluded>"" COMMAND_RUN=""<exact reviewed command>"" VALIDATION_RESULT=""<pass/fail/not_run>"" PREVIEW_RESULT=""<reviewed/not_run>"" APPLY_RESULT=""<applied/not_run/skipped>"" CHANGED_READINESS_COUNTS=""<from reviewed-batch-compare>"" CHANGED_TICKERS=""<from reviewed-batch-compare>""",metric-readiness console output; Data Health Metrics lane; optional reviewed_batch_packet.csv,"No local data is mutated by metric-readiness review. If follow-up source rows are changed in another lane, use that lane's rollback path.","readiness artifacts are missing or stale; source proof is unavailable; validation fails; preview shows unexpected rows; rejected-row reports contain unresolved rows; the operator cannot identify changed source files; the missing metric inputs have not been traced to prices, fundamentals, market cap, or peer-input proof",record saved counts before command; run make readiness-snapshot if needed,<copy exact command actually run>,<pass/fail/not_applicable>,<reviewed rows / no unexpected rows / not_applicable>,<not_run/applied/skipped>,"make readiness && make metric-readiness-board TOP_N=10 TICKERS=A,AACB,AACI,AACO,AAL,AAME,AAOI,AAON,AAPG,AAPL BENCHMARKS=SPY,QQQ","<before -> after counts, or none>","<tickers changed, or none>",<reviewer>,<YYYY-MM-DD>,metric-readiness console output; Data Health Metrics lane; optional reviewed_batch_packet.csv,<kept evidence or excluded local churn>,supported|still_blocked|skipped|excluded,"<source proof, blockers, rollback notes>"
RB-20260614T035812Z,metric_readiness_review,Metric Readiness Review,"A,AACB,AACI,AACO,AAL,AAME,AAOI,AAON,AAPG,AAPL",AAON,read_only_review,"Requires trusted local prices, benchmark rows, fundamentals, market context, and peer inputs depending on blocker family.",current: Readiness artifacts are current relative to watched source files.,"make metric-readiness-board TOP_N=10 TICKERS=A,AACB,AACI,AACO,AAL,AAME,AAOI,AAON,AAPG,AAPL","make metric-readiness-board TOP_N=10 TICKERS=A,AACB,AACI,AACO,AAL,AAME,AAOI,AAON,AAPG,AAPL BENCHMARKS=SPY,QQQ",not_applicable_read_only_metric_review,"review metric blocker families, source gates, and row-level missing inputs before any data work",not_applicable; metrics remain blocked until the underlying trusted source rows are reviewed through their lane,"make readiness && make metric-readiness-board TOP_N=10 TICKERS=A,AACB,AACI,AACO,AAL,AAME,AAOI,AAON,AAPG,AAPL BENCHMARKS=SPY,QQQ",make reviewed-batch-compare LANE=metrics BATCH_ID=RB-20260614T035812Z REVIEW_DATE=<yyyy-mm-dd>,"make reviewed-batch-proof-record BATCH_ID=""RB-20260614T035812Z"" LANE=""metric_readiness_review"" REVIEW_DATE=""<yyyy-mm-dd>"" FINAL_OUTCOME=""<supported|still_blocked|skipped|excluded>"" COMMAND_RUN=""<exact reviewed command>"" VALIDATION_RESULT=""<pass/fail/not_run>"" PREVIEW_RESULT=""<reviewed/not_run>"" APPLY_RESULT=""<applied/not_run/skipped>"" CHANGED_READINESS_COUNTS=""<from reviewed-batch-compare>"" CHANGED_TICKERS=""<from reviewed-batch-compare>""",metric-readiness console output; Data Health Metrics lane; optional reviewed_batch_packet.csv,"No local data is mutated by metric-readiness review. If follow-up source rows are changed in another lane, use that lane's rollback path.","readiness artifacts are missing or stale; source proof is unavailable; validation fails; preview shows unexpected rows; rejected-row reports contain unresolved rows; the operator cannot identify changed source files; the missing metric inputs have not been traced to prices, fundamentals, market cap, or peer-input proof",record saved counts before command; run make readiness-snapshot if needed,<copy exact command actually run>,<pass/fail/not_applicable>,<reviewed rows / no unexpected rows / not_applicable>,<not_run/applied/skipped>,"make readiness && make metric-readiness-board TOP_N=10 TICKERS=A,AACB,AACI,AACO,AAL,AAME,AAOI,AAON,AAPG,AAPL BENCHMARKS=SPY,QQQ","<before -> after counts, or none>","<tickers changed, or none>",<reviewer>,<YYYY-MM-DD>,metric-readiness console output; Data Health Metrics lane; optional reviewed_batch_packet.csv,<kept evidence or excluded local churn>,supported|still_blocked|skipped|excluded,"<source proof, blockers, rollback notes>"
RB-20260614T035812Z,metric_readiness_review,Metric Readiness Review,"A,AACB,AACI,AACO,AAL,AAME,AAOI,AAON,AAPG,AAPL",AAPG,read_only_review,"Requires trusted local prices, benchmark rows, fundamentals, market context, and peer inputs depending on blocker family.",current: Readiness artifacts are current relative to watched source files.,"make metric-readiness-board TOP_N=10 TICKERS=A,AACB,AACI,AACO,AAL,AAME,AAOI,AAON,AAPG,AAPL","make metric-readiness-board TOP_N=10 TICKERS=A,AACB,AACI,AACO,AAL,AAME,AAOI,AAON,AAPG,AAPL BENCHMARKS=SPY,QQQ",not_applicable_read_only_metric_review,"review metric blocker families, source gates, and row-level missing inputs before any data work",not_applicable; metrics remain blocked until the underlying trusted source rows are reviewed through their lane,"make readiness && make metric-readiness-board TOP_N=10 TICKERS=A,AACB,AACI,AACO,AAL,AAME,AAOI,AAON,AAPG,AAPL BENCHMARKS=SPY,QQQ",make reviewed-batch-compare LANE=metrics BATCH_ID=RB-20260614T035812Z REVIEW_DATE=<yyyy-mm-dd>,"make reviewed-batch-proof-record BATCH_ID=""RB-20260614T035812Z"" LANE=""metric_readiness_review"" REVIEW_DATE=""<yyyy-mm-dd>"" FINAL_OUTCOME=""<supported|still_blocked|skipped|excluded>"" COMMAND_RUN=""<exact reviewed command>"" VALIDATION_RESULT=""<pass/fail/not_run>"" PREVIEW_RESULT=""<reviewed/not_run>"" APPLY_RESULT=""<applied/not_run/skipped>"" CHANGED_READINESS_COUNTS=""<from reviewed-batch-compare>"" CHANGED_TICKERS=""<from reviewed-batch-compare>""",metric-readiness console output; Data Health Metrics lane; optional reviewed_batch_packet.csv,"No local data is mutated by metric-readiness review. If follow-up source rows are changed in another lane, use that lane's rollback path.","readiness artifacts are missing or stale; source proof is unavailable; validation fails; preview shows unexpected rows; rejected-row reports contain unresolved rows; the operator cannot identify changed source files; the missing metric inputs have not been traced to prices, fundamentals, market cap, or peer-input proof",record saved counts before command; run make readiness-snapshot if needed,<copy exact command actually run>,<pass/fail/not_applicable>,<reviewed rows / no unexpected rows / not_applicable>,<not_run/applied/skipped>,"make readiness && make metric-readiness-board TOP_N=10 TICKERS=A,AACB,AACI,AACO,AAL,AAME,AAOI,AAON,AAPG,AAPL BENCHMARKS=SPY,QQQ","<before -> after counts, or none>","<tickers changed, or none>",<reviewer>,<YYYY-MM-DD>,metric-readiness console output; Data Health Metrics lane; optional reviewed_batch_packet.csv,<kept evidence or excluded local churn>,supported|still_blocked|skipped|excluded,"<source proof, blockers, rollback notes>"
RB-20260614T035812Z,metric_readiness_review,Metric Readiness Review,"A,AACB,AACI,AACO,AAL,AAME,AAOI,AAON,AAPG,AAPL",AAPL,read_only_review,"Requires trusted local prices, benchmark rows, fundamentals, market context, and peer inputs depending on blocker family.",current: Readiness artifacts are current relative to watched source files.,"make metric-readiness-board TOP_N=10 TICKERS=A,AACB,AACI,AACO,AAL,AAME,AAOI,AAON,AAPG,AAPL","make metric-readiness-board TOP_N=10 TICKERS=A,AACB,AACI,AACO,AAL,AAME,AAOI,AAON,AAPG,AAPL BENCHMARKS=SPY,QQQ",not_applicable_read_only_metric_review,"review metric blocker families, source gates, and row-level missing inputs before any data work",not_applicable; metrics remain blocked until the underlying trusted source rows are reviewed through their lane,"make readiness && make metric-readiness-board TOP_N=10 TICKERS=A,AACB,AACI,AACO,AAL,AAME,AAOI,AAON,AAPG,AAPL BENCHMARKS=SPY,QQQ",make reviewed-batch-compare LANE=metrics BATCH_ID=RB-20260614T035812Z REVIEW_DATE=<yyyy-mm-dd>,"make reviewed-batch-proof-record BATCH_ID=""RB-20260614T035812Z"" LANE=""metric_readiness_review"" REVIEW_DATE=""<yyyy-mm-dd>"" FINAL_OUTCOME=""<supported|still_blocked|skipped|excluded>"" COMMAND_RUN=""<exact reviewed command>"" VALIDATION_RESULT=""<pass/fail/not_run>"" PREVIEW_RESULT=""<reviewed/not_run>"" APPLY_RESULT=""<applied/not_run/skipped>"" CHANGED_READINESS_COUNTS=""<from reviewed-batch-compare>"" CHANGED_TICKERS=""<from reviewed-batch-compare>""",metric-readiness console output; Data Health Metrics lane; optional reviewed_batch_packet.csv,"No local data is mutated by metric-readiness review. If follow-up source rows are changed in another lane, use that lane's rollback path.","readiness artifacts are missing or stale; source proof is unavailable; validation fails; preview shows unexpected rows; rejected-row reports contain unresolved rows; the operator cannot identify changed source files; the missing metric inputs have not been traced to prices, fundamentals, market cap, or peer-input proof",record saved counts before command; run make readiness-snapshot if needed,<copy exact command actually run>,<pass/fail/not_applicable>,<reviewed rows / no unexpected rows / not_applicable>,<not_run/applied/skipped>,"make readiness && make metric-readiness-board TOP_N=10 TICKERS=A,AACB,AACI,AACO,AAL,AAME,AAOI,AAON,AAPG,AAPL BENCHMARKS=SPY,QQQ","<before -> after counts, or none>","<tickers changed, or none>",<reviewer>,<YYYY-MM-DD>,metric-readiness console output; Data Health Metrics lane; optional reviewed_batch_packet.csv,<kept evidence or excluded local churn>,supported|still_blocked|skipped|excluded,"<source proof, blockers, rollback notes>"
